id,name,link,art,description
7947,Medieval Additions,https://modrinth.com/mod/medieval-additions,https://cdn.modrinth.com/data/xT0PGPKD/fbb599236be45adf924578dd25cad703b0514509_96.webp,Adds multiple different items to your game!
7948,Energized Power - Regions Unexplored,https://modrinth.com/mod/energized-power-ru,https://cdn.modrinth.com/data/2x078t9D/6072e801a8edef3cea3ee80404532816f60d87ee_96.webp,Compatibility between Energized Power and Regions Unexplored
7949,Counter Day,https://modrinth.com/mod/counter-day,https://cdn.modrinth.com/data/twfrqvOT/7fade12980278283c4e3547469ab7d208a520e5a_96.webp,Counting the days to the 100 day challenge
7950,[DCCraft]DaiChang Craft,https://modrinth.com/mod/daichang-mod,https://cdn.modrinth.com/data/vsQUVfVT/73882cb940db19f73bb7de6b6e8109b346dbdc6a_96.webp,A Minecraft adventure mod that adds many props and several entities to the game.
7951,Gemspark,https://modrinth.com/mod/gemspark,https://cdn.modrinth.com/data/MGbnuwQA/1f6e9b2d4a6195ff179b323b9f7168fb8c83ecd9.png,"Vanilla style gems, cosmetic trinkets and decoration blocks."
7952,Dynamic Villager Trades,https://modrinth.com/mod/dynamic-villager-trades,https://cdn.modrinth.com/data/baBYPjgq/c2e368a8b15e101a6409a0358cd9be67d599abec_96.webp,Villagers change trades based on previous player interactions
7953,NorseMC,https://modrinth.com/mod/norsemc-riordanmc,https://cdn.modrinth.com/data/shbP4tKk/46f8ad0bcbf4a8e44c493fc4727628f978d39a11_96.webp,"This new mod adds Norse Mythology to Minecraft!!! Summon lightning with Mjolnir, battle the Gods of Asgard and more!!!

Thank you Rick Riordan, for making the Magnus Chase books, which this is based on."
7954,AllTheFood,https://modrinth.com/mod/allthefood,https://cdn.modrinth.com/data/Mk4gY5e2/7e3d87f47c79aafd0a3452233bc3f398db58ab1c.png,"Adds many new foods, with different uses and methods to obtain them. Aims to be highly compatible"
7955,Create: Props And Misc,https://modrinth.com/mod/create-props-and-misc,https://cdn.modrinth.com/data/OynyFMsa/021bf0ce9dd72c8d1c06bc039e3194285343985a_96.webp,"Create: Props And Misc is an addon for the popular Minecraft Create mod, enhancing your building and automation experience with a variety of new props."
7956,Yggdrasil Proxy,https://modrinth.com/mod/yggdrasil-proxy,https://cdn.modrinth.com/data/NQJ3Ffnz/84679f814d2f8152d4ab10766e129e60307168d6_96.webp,The proxy in the device is automatically read to speed up Yggdrasil verification.
7957,Potato Cannon Ammo Counter,https://modrinth.com/mod/potato-cannon-ammo-counter,https://cdn.modrinth.com/data/SFa4I2aX/44928b4876340ed9c28934027171b527f67a549a_96.webp,Allows you to see how much ammo you have in inventory
7958,Cobblemon : Poke Labs,https://modrinth.com/mod/cobblemon-poke-labs,https://cdn.modrinth.com/data/Wk0xZVPQ/04675fe55fe9ec62bbc794e4915d66d241269546_96.webp,Adds a laboratory structure with 5 loot chests.
7959,Tin  Ore,https://modrinth.com/mod/tinore,https://cdn.modrinth.com/data/wulNXxcT/41f7bac2c9f9060225e16b68572a024fd616c33a_96.webp,Simple mod that adds tin in the overworld
7960,Better Endgame Equip,https://modrinth.com/mod/better-endgame-equip,https://cdn.modrinth.com/data/IvXfo1HU/9b9fd9369d2e9177a4497df8c0fe9b690077d8a3.png,A mod that adds new content to grind after the end
7961,MIKANCRAFT Mining Dimension,https://modrinth.com/mod/mikancraft-mining-dimension,https://cdn.modrinth.com/data/OhPEL1cY/c9868434959a11f0eacc436dde145ea9302dea42_96.webp,Adds a dimension just for mining so you don't have to ruin the overworlds landscape
7962,Death Note REMASTERED,https://modrinth.com/mod/death-note-remastered,https://cdn.modrinth.com/data/U4PRYsfB/c82740989005ffb9d744b3898df9ecd6b3143124_96.webp,Based on Japanese anime 'Death Note' • FOR NEW VERSIONS!!📓🍎
7963,ModList Command,https://modrinth.com/mod/modlistcmd76,https://cdn.modrinth.com/data/Bx6i1J4x/857117f5841752544eaa5009f3b1c1d0bf7759f4_96.webp,Add command to display list of mods
7964,GlassWorld,https://modrinth.com/mod/glassworld,https://cdn.modrinth.com/data/PebMtyJT/0e40ed7aee43ad553bc44f3c96812c1e06f76d02.png,This is a fabric mod. It adds some fantastic types of glass. Enjoy!
7965,Project: Buildinatural,https://modrinth.com/mod/project-buildinatural,https://cdn.modrinth.com/data/qfaW0wky/6f0e87317a0099dfb7f041b5a5c2dbd2cd0c1f00.png,more than another vanilla plus mod
7966,FluidSystem,https://modrinth.com/mod/fluidsystem,https://cdn.modrinth.com/data/Ef0IeFUo/29754614e00fc23fd93f2a155c27efa6fb5d0856_96.webp,A system to manage LARGE quantities of liquids inside Minecraft
7967,PaxelJS,https://modrinth.com/mod/paxeljs,https://cdn.modrinth.com/data/T0fiFtaZ/bc7e9463272a77f29b454f24cd99cb84eede8e31_96.webp,"Adds Paxel support for KubeJS, using the Cucumber Library."
7968,Classic RBLX Tools,https://modrinth.com/mod/classic-rblx-tools,https://cdn.modrinth.com/data/GQhnMr06/2b3c1bebeac0e5d4aefb86dd54a5d3b393c7b72d.png,This Mod adds classic tools from Roblox.
7969,sdmim,https://modrinth.com/mod/sdmim,https://cdn.modrinth.com/data/noXFqHOq/3c2a2a17e535fb831d89609011a4d4f9493fa2a9_96.webp,A server-side mod that just hides the player's IP when joining a server.
7970,SU Gems,https://modrinth.com/mod/su-gems,https://cdn.modrinth.com/data/uxSwf95y/fa8bbf87ce7b05a2f6b2aceeddc849f22bb8c6e7_96.webp,"In between ruins and abandoned technology, what will you find about the mysterious gem race?"
7971,Evasive Items,https://modrinth.com/mod/evasive-items,https://cdn.modrinth.com/data/RiCRCqic/613c944f40f31f8a3c9a79ecb484c55ecb2bd30a_96.webp,Items move away from the player if they are being directly looked at
7972,Sussare Cibium,https://modrinth.com/mod/sussare-cibium-(vita-carnis),https://cdn.modrinth.com/data/kyYGPstI/f0a11cbc00f6b58e850bd599bdc49e8be12ecdfa.png,Adds vita carnis in a vanilla friendly way!
7973,Underground Wonders,https://modrinth.com/mod/underground-wonders,https://cdn.modrinth.com/data/pFwEETLz/98f0b7a83908f68c85987564b9a9da21b9dfcde5.png,a minecraft mod that adds the sewers and late game items for the early game
7974,The Cat's Delight,https://modrinth.com/mod/the-cats-delight,https://cdn.modrinth.com/data/zwhGeDzN/699abf6ed344788ca78d5c150ba58a085f33e3b2.png,"A small add-on for Farmer's Delight, focusing on more fantasy and magical dishes, as well as holding its own unique content."
7975,Blockables - Chairs,https://modrinth.com/mod/movables-chairs,https://cdn.modrinth.com/data/J5SgwtH4/259e79ab6f112e1b0ce8de220ed5ce7a07faa041_96.webp,The second mod in the Tools and Blockables series: Chairs
7976,Daily Deliveries,https://modrinth.com/mod/daily-deliveries,https://cdn.modrinth.com/data/KqFR05n9/60038cc5731666f4d82425507ca918ddd9090e8f.png,"Adds JSON-editable daily tasks with unique rewards, requiring players to gather resources and deliver them to randomly generated locations"
7977,ChatCalculator,https://modrinth.com/mod/chatcalculator,https://cdn.modrinth.com/data/dGv7UYnq/b6b5b5e75f069487f4bb86b3d53aef7ff725739e.png,Calculate simple maths from ingame chat.
7978,Solomons Rod [unofficial],https://modrinth.com/mod/solomons-rod-fabric,https://cdn.modrinth.com/data/dRsm10gb/21542a49b4334d8bbb28d689e1cfea079a062e4e.png,Solomons Rod Reproduction
7979,Sneaky NameTag,https://modrinth.com/mod/sneaky-nametag,https://cdn.modrinth.com/data/PUpch7wm/60f66dc57a2fadc0240fb4c751dad42979c8fa99_96.webp,Hides nametags until directly targeted
7980,Dropped Buffs,https://modrinth.com/mod/dropped-buffs,https://cdn.modrinth.com/data/d3DHaYIS/27afd1989a8326f0ec41881546535868f3e9139a_96.webp,Adds buffs that can drop after a mob is killed. These will help you by providing various effects.
7981,Chaos,https://modrinth.com/mod/hey-you-noticed-me!,https://cdn.modrinth.com/data/ECxpS7CD/37cc95743eb05c132d6045f471a1b6a6fc070403_96.webp,"Mostly random, but could become chaotic or fun with friends!"
7982,Simple Hearts,https://modrinth.com/mod/simplehearts,https://cdn.modrinth.com/data/NmxRBFHe/icon.png,A minecraft mod that adds survival friendly extra health into the game.
7983,Precision Enchanter,https://modrinth.com/mod/precision-enchanter,https://cdn.modrinth.com/data/EwPfmT4T/7cc888b2206b74a1f6827c461349b819dbfcaff1_96.webp,Have more control over enchanting! Remove the randomness by crafting and removing specific enchantments.
7984,Archaic Chocolatier's guide to well brewed Coffee,https://modrinth.com/mod/archaic-chocolatiers-guide-to-well-brewed-coffee,https://cdn.modrinth.com/data/mTrUvGzl/aa32079d3f7ef12a079534f4d2f0b63ad4c8a05c_96.webp,An Add-On for Create that helps with all your drinking problems
7985,ArknightsFurniture,https://modrinth.com/mod/arknightsfurniture,https://cdn.modrinth.com/data/twrsixFr/656596d8708fcd5211fb98d870ad73b961b37117_96.webp,This mod adds furniture from the game Arknights to Minecraft.
7986,Kawatt's Mining Starting Equipment,https://modrinth.com/datapack/kawatts-mining-starting-equipment,https://cdn.modrinth.com/data/5VlgGgfU/203a932d61ba5f32ffb56c17f9133d175162242d.png,Spawns you with everything you need for a cave only playthrough
7987,RealityMod,https://modrinth.com/mod/realitymod,https://cdn.modrinth.com/data/Miwb8ahh/08b07ef57f192a8366763952f96adabe7f874f39_96.webp,"RealityMod is a Minecraft mod that aims to enhance the game's biomes, mobs and mechanics. It's currently undergoing a major overhaul, featuring new textures, models, and more realistic gameplay elements."
7988,Datamancy,https://modrinth.com/mod/datamancy,https://cdn.modrinth.com/data/tEP2OKZW/c4732269fd71933a5b405def0ab492857f4a24a4_96.webp,Expands datapack functionality
5962,Phones Mod,https://modrinth.com/mod/phones_mod,https://cdn.modrinth.com/data/27mYuQCU/e5e5bfd818a15e2dc2dd49cbbbe4dfbfdfd9b77a_96.webp,"Welcome at Phones Mod!
This mod adds Phones to game. It's ideal to decoration.

1.0.0 got released!"
7989,TurnBasedMC,https://modrinth.com/mod/turnbasedmc,https://cdn.modrinth.com/data/UmwJUA17/df7b576152b07ff90f84cee5f82315a4af409a3a_96.webp,Adds turn-based combat to Minecraft!
7990,Caliber Lib,https://modrinth.com/mod/caliber-lib,https://cdn.modrinth.com/data/hHwuFKsz/ac5c760990728e8601e8b392ef88e6b58dd2a246_96.webp,Caliber Lib is a library mod containing various aspects of all of my mods.  It is available for other developers to use for integration with CaliberMC mods or for use on their own projects as well!
7991,Simple HUD Overlay,https://modrinth.com/mod/simple-hud-overlay,https://cdn.modrinth.com/data/iCG9afOT/fa423fc97c6570f7612363f3e86a982a7d520466_96.webp,Simple customizable HUD overlay to display world/player data on the screen.
7992,Create: BalancedFlight,https://modrinth.com/mod/balancedflight,https://cdn.modrinth.com/data/pBBeKStC/7142faf092deef07df3ec204204c557be46c7c4a_96.webp,"This mod allows flight using the Ascended Flight Ring, letting you fly freely like in Creative mode. Alternatively, with rotational force, it enables limited-area flight based on the power provided. Use the Flight Anchor to define your flight zone."
7993,Create: Genderless,https://modrinth.com/mod/genderless,https://cdn.modrinth.com/data/FtgGejHS/97aa80cd8485a1c1bb9f9f7267d6b94bde803673_96.webp,"An Addon for Create: Estrogen/Testosterone that adds more uses to Gender Fluid, along with new items and more!"
7994,Default Key Setup,https://modrinth.com/mod/default-key-setup,https://cdn.modrinth.com/data/WvWJ9eom/d1fdad1b54443ececcacab2eec6e8fffbea6de31_96.webp,Customize the default key of key binding
7995,Cosmos Portals,https://modrinth.com/mod/cosmos-portals,https://cdn.modrinth.com/data/yUzONaQ5/668c478d4b36ac1bffd886aa0e5a47ecc8edf2d4_96.webp,"Create Portals to anywhere, from anywhere!"
7996,Gardening Tools,https://modrinth.com/mod/gardening-tools,https://cdn.modrinth.com/data/1fVQgxmY/c510e9671532f78a357500b65a212a9296941625_96.webp,Till and plant large farms.  Watering can and blocks to automate wool and milk gathering
7997,Doirit`s Elemental Expansion,https://modrinth.com/mod/doirit%60s-elemental-expansion,https://cdn.modrinth.com/data/387qaOoh/938db46ca985a466d910444052c3feba5e74428b.png,"Enchant your items and make them elemental charged, travel to The Outest End Islands, explore new fortresses and much more"
7998,Dimensional Kitsune,https://modrinth.com/datapack/dimensional-kitsune,https://cdn.modrinth.com/data/JjhocwD9/9241094f57fb0b5860015f5befcf52d615b9d7a7.png,My Dimensional Kitsune Origin
7999,Pirates Awakened,https://modrinth.com/mod/pirates-awakened,https://cdn.modrinth.com/data/EFDJrPYE/942b5b6f6fbef8dc53d3e573929f02dc8d699614_96.webp,Pirate decorations and blocks
8000,The Age Of Being,https://modrinth.com/mod/the-age-of-being,https://cdn.modrinth.com/data/OVGnYyzb/29c0f454977600f97c861c312f4b39bcc181d7e4.png,Mod expands vanilla minecraft and adds new features
8001,Wooden slab and stairs,https://modrinth.com/mod/wooden-slab-and-stairs,https://cdn.modrinth.com/data/hT2IX4x3/33440e9bb24b5027988cd736c1875fe919e21429_96.webp,Mod adds slab and stairs made of wood to the game
8002,VS Hyperdrives,https://modrinth.com/mod/vs-hyperdrives,https://cdn.modrinth.com/data/kuYNx0Id/c1ab5f91565a09e811e026c9a02fa0483400ca35_96.webp,This project is a little mod that add Hyperdrives to Valkyrien skies
8003,Respawn Save Points,https://modrinth.com/mod/respawn-save-points,https://cdn.modrinth.com/data/cHtZAjju/e1ef3793a5bb321c1b09e24de6773b09015762c3_96.webp,"Beds and Respawn Anchors now act as ""save points"" that restore the players inventory from the last time the player right clicked on them."
8004,Minecraft But You can Breed mobs with items,https://modrinth.com/mod/minecraft-but-you-can-breed-mobs-with-items,https://cdn.modrinth.com/data/qJSXTvrb/ffe5ed13d7a6ec9d9dba61df96629377df5e6637_96.webp,"you use some specific items to breed the in game mobs like sheep, cow, pig and chicken."
8005,Epic Enchants (v1.2.2),https://modrinth.com/mod/epic-enchantments,https://cdn.modrinth.com/data/vyeDMDGL/ead43ee99771ab3a409098da91371262c4d401fb_96.webp,Adds many new and useful enchantments to Minecraft!
8006,L-man's Better Apples,https://modrinth.com/mod/apples-plus,https://cdn.modrinth.com/data/CibOZRLn/0585ed4ab2a8e8a58b49c5a3953c2313c881b770_96.webp,Expands on Minecraft's apple by introducing new variants and more foods to craft.
8007,Mushroom Tweaks,https://modrinth.com/datapack/mushroom-tweaks,https://cdn.modrinth.com/data/m8PBOrEK/7df15d6bef267d66ccda47c752f6ac60837da3c5_96.webp,Adds the ability to craft mushrooms using bone meal and existing mushrooms
8008,Ancient Forgemastery,https://modrinth.com/mod/ancient-forgemastery,https://cdn.modrinth.com/data/rciLBWn7/9de5f14b1c0867e53fc46e04f696ae85307e3c8c.png,"This mod adds a variety of special items, each offering useful and fun features, as well as an upgrading system for progression."
8009,RogueLite Storage,https://modrinth.com/mod/roguelite-storage,https://cdn.modrinth.com/data/MAgBN7zz/7698103082d4ad1d837dbe9fa7530cde71281a67_96.webp,Adds a safe in which items will persist between worlds
8010,No More Bats Plus,https://modrinth.com/mod/no-more-bats,https://cdn.modrinth.com/data/bTjooHT1/9c83c4fa834ddc7a40ece0d2993e4abba02d2cc1_96.webp,Disables Bat spawning.
8011,Cartography,https://modrinth.com/mod/cartography,https://cdn.modrinth.com/data/pZTaJC6r/2f9f171ba26223365a7ebf0d5f499f1f2073cb98_96.webp,"The mapping mod for TerraFirmaCraft, showing rocktypes, tracking ore discoveries, and more! Built on Blaze Map"
8012,Fae's Gardencraft,https://modrinth.com/mod/faes-gardencraft,https://cdn.modrinth.com/data/Cj0zM6vl/0804cf974f59d5883865cb724277eca40663163b_96.webp,"Adds in glowing flowers, glowing trees, new leaf variants for vanilla plants! 
Adds in all new Spooky Trees, Giant Grass Trees, Giant Flower Trees, and color changing Rainbow Trees.
Adds in 4 new biomes.
Makes Torchflowers Glow like Torches!"
8013,AttackAgain,https://modrinth.com/mod/attackagain,https://cdn.modrinth.com/data/UFZE4T3S/2ab170074bd5fc98185c09b1d203d048d778e9da_96.webp,Experience a new dimension of combat with enhanced attack mechanics and add more challenge to your battles!
8014,Mob Armor Mod V3,https://modrinth.com/mod/mob-armor-mod-v3,https://cdn.modrinth.com/data/n1tBOqCc/eb5305feea9c517d5517e487f11829d9b83cd3d0_96.webp,"Do you ever wanted to disguise your self as a mob?

Well now you actually can! as mob armor mod adds many new and unique armor sets that will actually transform you into a mob ."
8015,AdvancementSync,https://modrinth.com/mod/advancementsync,https://cdn.modrinth.com/data/8ANt8sE5/9cedf61328a3f4a2d48bddd28cca2fc46ef1c838.png,Simple mod for syncing all advancements between players on server.
8016,Moonstruck Phantasm,https://modrinth.com/datapack/moonstruck-phantasm,https://cdn.modrinth.com/data/9nyrybrl/94d4d553c3564fdde3d3491ada1ed15d9ac5e599_96.webp,Adds a highly developed boss with fleshed-out attack patterns to your game.
8017,Industrial Decorations,https://modrinth.com/mod/industrial-decorations,https://cdn.modrinth.com/data/moyNTfeV/394c4ad6da2123ffcd483c47931a2c591a6db506_96.webp,A mod adding some industrial-themed decorations (and a bit of uranium)
8018,KeyBinding Hider,https://modrinth.com/mod/keybinding-hider,https://cdn.modrinth.com/data/sr6w9aQc/3460dcebfb68e03f215ef0132a3a04797936f38c.png,A simple mod for hiding specific key bindings in the GUI.
8019,Props Mod,https://modrinth.com/mod/props-mod,https://cdn.modrinth.com/data/YS0IsV6G/d514c817d52977e84427cee3dbe25193d2ba4f02_96.webp,Adding useful props for decorating your sets in Minecraft!
8020,Diamond Apples,https://modrinth.com/mod/diamondapples,https://cdn.modrinth.com/data/t6IG41in/cdad85064779558aa20fb57b93aa7bd324f87b9e.png,Adds more apples that gives you different effects just like golden apples.
8021,Mineify [DISCONTINUED],https://modrinth.com/mod/mineify,https://cdn.modrinth.com/data/7FhIFXXt/eb7ee3ed97066838c822a329b53086d12bc3e174_96.webp,Let all players on your server upload custom sounds and music without the need for a resource pack
8022,mark it!,https://modrinth.com/mod/mark-it,https://cdn.modrinth.com/data/RkezrigT/c31700aa1a08ca9dedbba74bc5facd5512c7f16b_96.webp,Markdown? In this Minecraft!?
8023,TagFoods,https://modrinth.com/mod/tagfoods,https://cdn.modrinth.com/data/AHIqijE1/icon.png,Applies a tag to all edible items
8024,Energized Power - The Aether,https://modrinth.com/mod/energized-power-ta,https://cdn.modrinth.com/data/3tCbCCSA/248a6c387feb750b63a33dc87b6d05b809087773_96.webp,Compatibility between Energized Power and The Aether
8025,Shields+,https://modrinth.com/mod/shieldsplus,https://cdn.modrinth.com/data/AmAXl2I5/ddf2cf472d40011f332c24fa51a44752d6ac4227_96.webp,Changing shields mechanics and adding more shields and enchantments
8026,Dragionn's Stuff,https://modrinth.com/mod/dragionns-stuff,https://cdn.modrinth.com/data/Ec1dswXy/2ae3fb4c2fb3db66daacef29f23fcdb49e7688d9_96.webp,"Adds lots of random stuff that I thought of, mostly strong and overpowered mobs."
8027,Nuclear Winter,https://modrinth.com/mod/nuclear-winter,https://cdn.modrinth.com/data/oz8BPU6t/51bdd5f77ddc5e60e622f1e52752c390ddda4900.png,mod that tries to generate a post nuclear environment
8028,Heart Lantern,https://modrinth.com/mod/heart-lantern,https://cdn.modrinth.com/data/2N8SFhmv/2cee5dd7e37a8946550a7c82c9b6d429743e35fd_96.webp,Heart Lantern Grants Health Regeneration To Nearby Players!
8029,Totem of Immortality,https://modrinth.com/mod/totem-of-immortality,https://cdn.modrinth.com/data/nsiFb1JM/b600676012859b79285292066ae5dcd2b7f327fb.png,Adds a totem that permanently prevents death while in the inventory
8030,Immortal Gingerbread,https://modrinth.com/mod/immortal-gingerbread,https://cdn.modrinth.com/data/6edB9U2s/d469bc1deb37e2272001b9675f05a8682c42cc2e_96.webp,Defend the village from dangerous enemies who want to spoil your holiday!
8031,Glocks R Us,https://modrinth.com/mod/glocks-r-us,https://cdn.modrinth.com/data/CIBrDIoz/3463c3f8620ec2df68ca4d67b7200acff203535e.jpeg,Simple gun mod with Glock & attachments.
8032,Nie's British Weather,https://modrinth.com/datapack/nies-british-weather,https://cdn.modrinth.com/data/SdRZU5MW/076d20cc03332f4351adcfea113c7d5f5fe8ebc2.png,"British Weather, but in Minecraft :p"
8033,Ludacris,https://modrinth.com/mod/ludacris,https://cdn.modrinth.com/data/5NBDc5Wt/dccdd47193b2e15843152c0e94bc046187749ee1_96.webp,"The aim of this mod is to enhance your Minecraft experience by adding new content based around weaponry. Currently the mod adds, new swords, knives, katanas, and broadswords into the game along with emerald, copper, and crimson (nether) iron weapons."
8034,Pathing The Way,https://modrinth.com/mod/pathing-the-way,https://cdn.modrinth.com/data/boXBchdW/8ec26001044e29f66de00a7fbc022608553e99c0_96.webp,Allows you to change blocks using tools
8035,Pets & Dungeons,https://modrinth.com/mod/pets-dungeons,https://cdn.modrinth.com/data/qVWATKZQ/cf43c0ad9ab6ca46a1daa92d4d8df0929137eab5_96.webp,"Adds magical pets, magical weapons and new structures"
8036,More Than Biomes!,https://modrinth.com/mod/more-than-biomes,https://cdn.modrinth.com/data/GPGIgb7X/a67a11328042d9d7b033215939d658b3b758a2f1_96.webp,"Ever wanted to have more features to plain boring old vanilla? Well now you can! This mod adds new biomes and new ores and each with their own armor and weapon sets. New mobs for the new biomes, and so much more!"
8037,We Do Copyright,https://modrinth.com/mod/we-do-copyright,https://cdn.modrinth.com/data/Omqm1rvx/ab716aa2b86d80f5a816250d02985f803e271b9c_96.webp,Add your announcement before titlescreen.
8038,The Cat Dimension,https://modrinth.com/mod/the-cat-dimension,https://cdn.modrinth.com/data/W5ZLYklo/c1c6cd383af5cd53dc0a4270763f9a7b3ca7c4e5_96.webp,"A Minecraft Mod full of tons of New Cat Stuff including a New Dimension, Structures, Blocks and more"
8039,Better Biscuits,https://modrinth.com/mod/better-biscuits,https://cdn.modrinth.com/data/UXAnbYuU/9007f6f5bbbb5169c9f71846dc23641eeb2f7f45_96.webp,"Honey cake, or would you prefer a sweet berry cookie?"
8040,CasinoCraft,https://modrinth.com/mod/casinocraft,https://cdn.modrinth.com/data/kDlnENV6/fd957abff78c8da40ad5af6e65da6e96867350b0_96.webp,Build your own Casino!
8041,Platinum Powers,https://modrinth.com/mod/platinum-powers,https://cdn.modrinth.com/data/zfdl9Pyh/0123aa0b8f39f00a1dd83f514c3c015f82563764_96.webp,Adds powers using a mod called palladium.
8042,S.E.E.S. Weaponry,https://modrinth.com/mod/seesweaponry,https://cdn.modrinth.com/data/HNgOPtnx/a0db42c19ee52c4f21806fdf3756c5c997d6118d.png,A mod based off Persona 3 Reload's S.E.E.S.!
8043,Progressive Difficulty: Chaos Integration,https://modrinth.com/mod/progressive-difficulty-chaos-integration,https://cdn.modrinth.com/data/NG36O5es/9f15cda6a088676d9f8513b3c89b50babbd3096a.png,Add compatibility between Majrusz's Progressive Difficult and Born in Chaos
8044,Waffle's Terracotta Plaster,https://modrinth.com/mod/waffles-terracotta-plaster,https://cdn.modrinth.com/data/I7mv6L5j/0028b8d9a1fd93571b6a3a415cc69ad38970ce09.gif,Plaster your bricks with terracotta!
8045,Just-In GARDEN,https://modrinth.com/mod/just-in-garden,https://cdn.modrinth.com/data/iej82RGq/991d42357f105eee615bc9bb546d3d5860774c70_96.webp,Flowers and Insect!!!
8046,Nova's Library,https://modrinth.com/mod/novas-library,,A small Kotlin library with all the things I kept on rewriting
8047,DeathSpectator (Forge/Fabric/NeoForge),https://modrinth.com/mod/deathspectatormod,https://cdn.modrinth.com/data/2P7piK0H/e3cf990ad7be9f11daa64aa8f2e1c83744711476_96.webp,Death system that puts you as a spectator!
8048,Revamped Trades,https://modrinth.com/mod/revamped-trades,https://cdn.modrinth.com/data/3xkmdyGd/4a4a925345e148c027ea859893b860de58c244dd_96.webp,Rebalanced trading system with villagers
8049,Create: Magics,https://modrinth.com/mod/create-magics,https://cdn.modrinth.com/data/8x58x3u8/df4bd28e16840eb4a741df56758b2c75ddd4fa7f_96.webp,"This mod tends to try and combine ""Create"" and ""Mana & Artifice"" mods by adding intermediate content"
8050,more turtles,https://modrinth.com/mod/more_turtles,https://cdn.modrinth.com/data/ENNkSurG/2b1acd2ac6149dd663c3036f22ee1887cc3d9220_96.webp,ads five new turtles with different uses
8051,ConfigJS,https://modrinth.com/mod/configjs,https://cdn.modrinth.com/data/hyn6Rt7w/db3653ea857149a8db63aedd4d2083a0ca0e3e8d.png,Write custom Forge toml configs with KubeJS
8052,LightShield,https://modrinth.com/mod/lightshield,https://cdn.modrinth.com/data/9hCrk9ym/38a85362635c276d4e17f89787feb34547b5979a.png,Add shield system to Minecraft.
8053,Equipment Benediction,https://modrinth.com/mod/equipment-benediction,https://cdn.modrinth.com/data/L987Zpj8/2a6c34e2511874280d0a1cafd70426b74a56b7fc.png,"Add an exclusive Modifier, quality or set effect to any equipment or item."
8054,Aviar,https://modrinth.com/mod/aviar,https://cdn.modrinth.com/data/75FFkvaX/dad3a8840c63d31da561f1a7976e9f3e5084e7ca.png,Bringing the Cosmere's cutest birbs to Minecraft
8055,Create: For Science!,https://modrinth.com/mod/create-for-science,https://cdn.modrinth.com/data/KnXKFIjA/844322b089fc1df1b1611ad5c61eacf71e170e20_96.webp,"CFS is a Create addon that adds technology based on, inspired by, or even just straight-up ripped from fiction! It features useful gadgets, technology and other items in the name of inventing!"
8056,Farm a'Head,https://modrinth.com/mod/farmahead,https://cdn.modrinth.com/data/UWLUl2E1/9089bb5fb5d6521f051da7a5d51ed9d7462b931d_96.webp,This Mod adds new Food to The Game
8057,Enhanced Potions,https://modrinth.com/mod/enhanced-potions,https://cdn.modrinth.com/data/ZAaSx2eQ/44c57175ced8541231f3bec233189991e358bf1e_96.webp,"Introducing a mod that expands the realm of potions in your favorite game! Delve into an enhanced experience as we introduce an additional stage to vanilla potions, offering new possibilities for your gameplay."
8058,Glowing Ores Universal - Emissive Ores for ALL Mods,https://modrinth.com/mod/glowing-ores-universal-mod,https://cdn.modrinth.com/data/mWSaRtxp/9ed973372147f7e20f58bed07b5c38e53b2f8bb5_96.webp,This Mod will glow the ores and some Minecraft blocks BUT also the MODS ORES that we will add in each update!
8059,Artifactory,https://modrinth.com/mod/artifactory-mod,https://cdn.modrinth.com/data/6uyuKQGN/32bdb10bf20930c48ae7c31bb3ee85ed5b8c7dc7_96.webp,Create artifacts and bond to them using the new attunement system to gain unique benefits.
8060,No More Lost Tridents,https://modrinth.com/mod/no-more-lost-tridents,https://cdn.modrinth.com/data/DRtfxHNQ/4dbb47cafadb2976d08801defe3cc0142e79746c_96.webp,A mod that allows tridents to return to you when they fall in the void
8061,KeepItHealthy,https://modrinth.com/mod/keepithealthy,https://cdn.modrinth.com/data/WnVbaui1/5cc92d0012444696b1b2c1697e869a468337f2e9.png,Keep your Minecraft character Healthy!
8062,G Utopia's Hexxit Gear,https://modrinth.com/mod/g-utopias-hexxit-gear,https://cdn.modrinth.com/data/VhCXjrlJ/60a60e1390b04a8e67d4f513b6d44ee330922c57.png,Original Hexxit Gear ported to the newest Minecraft versions.
8063,Slime Rancher MOD,https://modrinth.com/mod/slime-rancher-mod,https://cdn.modrinth.com/data/YBPoOb9o/4044302f4e1a9a8f826d044b2d0858825339e935.gif,This is a mod that adds content from slime Rancher 1-2 to minecraft
8064,Cheaper Beetroots Soup,https://modrinth.com/datapack/cheaper-beetroots-soup,https://cdn.modrinth.com/data/pi087y4K/d2afc2cd48a4ab4fcb7399451bb0101729b644ce_96.webp,Makes beetroots soup cheaper
8065,Skillable Reforged,https://modrinth.com/mod/skillable-reforged,https://cdn.modrinth.com/data/gpOU2vN3/45b943b407a99b652ce77f098724eaf6ac055838_96.webp,"Skillable mod has arrived for Minecraft 1.20.1! Most of the original features have now been implemented, and more are planned for the future!"
8066,MW: More Structures,https://modrinth.com/mod/mw-more-structures,https://cdn.modrinth.com/data/XCPG2IfP/58169f91eab7e369922961da10a3c3d6c3ffa730_96.webp,Adds new structures to the Management Wanted mod by OVDR
